id,url,title,subtitle,image,claps,responses,reading_time,publication,date
138,https://medium.com/swlh/the-20-keys-to-creating-an-inspiring-brand-story-cd4b434bd002,"<strong class=""markup--strong markup--h3-strong"">The 20 Keys to Creating an Inspiring Brand Story</strong>",,138.jpeg,194,0,5,The Startup,2019-04-22
139,https://medium.com/swlh/building-your-own-website-with-freelance-developers-4caca6486dd1,Building Your Own Website with Freelance Developers,How to Hire the Right Person for the Job,139.jpg,141,1,5,The Startup,2019-04-22
140,https://medium.com/swlh/last-click-attribution-is-outdated-why-are-marketers-still-using-it-e78b83070ee8,Last-Click Attribution is Outdated — Why Are Marketers Still Using It?,,140.jpeg,210,0,5,The Startup,2019-04-22
141,https://medium.com/swlh/my-life-as-a-social-media-influencer-108ddda19d47,My Life As a Social Media Influencer,I’m more present now that I’m Insta-famous’,141.jpeg,2,0,6,The Startup,2019-04-22
142,https://medium.com/swlh/stay-ready-so-you-dont-have-to-get-ready-f28969877ce4,Stay Ready…So You Don’t Have to Get Ready,,142.jpeg,155,0,9,The Startup,2019-04-22
143,https://medium.com/swlh/shrimpy-logo-redesign-e1ad0d8efb49,Shrimpy: Logo Redesign,,143.png,142,1,5,The Startup,2019-04-22
144,https://medium.com/swlh/stop-pitching-your-screenplay-and-make-the-damn-movie-dcab7e731e,Stop Pitching Your Screenplay and Make the Damn Movie,"Yes, you can do it yourself",144.jpg,680,8,3,The Startup,2019-04-22
145,https://medium.com/swlh/administrative-professionals-todays-managers-and-leaders-7c3ef699360c,Administrative Professionals — Today’s Managers and Leaders,Effective Admins use their vision and…,145.jpg,84,0,4,The Startup,2019-04-22
146,https://medium.com/swlh/its-your-choice-8d6bed208060,It’s Your Choice,Choose your direction or someone else will,146.jpg,302,1,4,The Startup,2019-04-22
147,https://medium.com/swlh/theres-no-pausing-life-f3349a9825a5,There’s No Pausing Life,The Game Only Gets Bigger,147.jpg,300,0,2,The Startup,2019-04-22
148,https://medium.com/swlh/the-social-media-health-and-safety-petition-76ab64228eb4,The Social Media Health and Safety Petition,,148.jpg,0,0,5,The Startup,2019-04-22
149,https://medium.com/swlh/is-a-us-stock-market-crash-coming-in-2019-value-stock-guide-4e9ceb616356,Is a US Stock Market Crash Coming in 2019? — Value Stock Guide,,149.png,0,0,6,The Startup,2019-04-22
150,https://writingcooperative.com/the-mechanics-of-attribution-quoting-paraphrasing-237357cf75d5,"<strong class=""markup--strong markup--h3-strong"">The Mechanics of Attribution: Quoting &amp; Paraphrasing</strong>",Rules and best practices for serving the sayer…,150.jpeg,322,1,10,The Writing Cooperative,2019-04-22
151,https://writingcooperative.com/why-i-use-a-pen-name-and-how-i-created-one-f92c5b6ec3d6,Why I Use a Pen Name and How I Created One,,151.jpeg,117,3,6,The Writing Cooperative,2019-04-22
152,https://writingcooperative.com/how-to-get-your-golden-start-as-a-professional-ghostwriter-556482034d39,How to Get Your Golden Start as a Professional Ghostwriter,,152.jpeg,1900,11,9,The Writing Cooperative,2019-04-22
153,https://writingcooperative.com/maybe-im-not-a-writer-and-maybe-you-aren-t-either-f88eebb87f0d,Maybe I’m Not A ‘Writer’ (And Maybe You Aren’t Either),What I’ve learned from Andy Weir and Glynnis…,153.jpg,2200,20,3,The Writing Cooperative,2019-04-22
154,https://writingcooperative.com/the-benefits-of-taking-a-writing-class-5d5ab42feebb,The Benefits of Taking a Writing Class,Stepping outside of yourself works wonders for your writing.,154.jpg,39,0,4,The Writing Cooperative,2019-04-22
155,https://writingcooperative.com/i-cant-write-without-music-1e94de49ff78,I Can’t Write Without Music,Tapping into the emotional connection between words and melody,155.jpg,19,2,6,The Writing Cooperative,2019-04-22
156,https://writingcooperative.com/writing-on-the-medium-app-9848759f36b,Writing on the Medium App,Why I love using the Medium app to write stories.,156.jpg,350,2,2,The Writing Cooperative,2019-04-22
157,https://writingcooperative.com/a-beginners-guide-to-writing-that-novel-4fc999f12076,"<strong class=""markup--strong markup--h3-strong"">A Beginner’s Guide to Writing That Novel</strong>",,157.jpeg,51,0,6,The Writing Cooperative,2019-04-22
