id,url,title,subtitle,image,claps,responses,reading_time,publication,date
31,https://uxdesign.cc/surviving-enterprise-ux-the-importance-of-targeted-user-research-c9823568ef1f,Surviving Enterprise UX: the importance of targeted user research,"Making sense of the Madness of User Research, not just the Methods",,294,1,6,UX Collective,2019-07-21
32,https://uxdesign.cc/what-do-product-managers-really-want-from-designers-2cb9d50e5abe,What do Product Managers really want from designers?,5 things a product designer can do to make a PM’s…,32.jpeg,64,0,6,UX Collective,2019-07-21
33,https://uxdesign.cc/my-first-glide-app-design-space-b3c62e70ea0a,My first Glide app: design.space,A design app for your pocket. ⭐️,33.png,113,0,2,UX Collective,2019-07-21
34,https://uxdesign.cc/4-steps-to-get-accessibility-on-your-companys-agenda-db9d0b48a029,4 steps to get accessibility on your company’s agenda,,34.gif,251,0,7,UX Collective,2019-07-21
35,https://uxdesign.cc/popcorn-and-shipping-products-f61e82d757a8,"Popcorn, and shipping products","A framework for feature releases, with an appetising twist.",35.png,356,2,5,UX Collective,2019-07-21
36,https://uxdesign.cc/user-research-case-study-camber-racing-ad68a31f3f56,Leveraging a race car to tackle work stress? — a UX Research case study,,,867,1,10,UX Collective,2019-07-21
37,https://uxdesign.cc/on-design-as-narrative-promise-c3e8dc61569b,On design as narrative promise,The True Difference Between Good Design and Break-up Sex.,37.png,130,0,7,UX Collective,2019-07-21
38,https://uxdesign.cc/whats-a-mens-section-165826aba0c9,Whats a men’s section?,"<em class=""markup--em markup--h4-em"">An exercise in effective IA under novel constraints.</em>",38.gif,51,0,5,UX Collective,2019-07-21
39,https://uxdesign.cc/top-5-things-i-have-learned-from-designing-for-someone-who-is-visually-impaired-117030e2aad1,Top 5 things I have learned from designing for a person who is visually impaired,"<em class=""markup--em markup--h4-em"">What I have learned</em>",39.png,18,0,2,UX Collective,2019-07-21
40,https://medium.com/swlh/how-to-break-a-negative-thought-loop-9d410bb7461,How To Break A Negative Thought Loop,“It’s pretty black-and-white. You either let go or you don’t.”,40.png,16300,56,4,The Startup,2019-07-21
41,https://medium.com/swlh/remote-debugging-a-java-application-running-in-docker-container-with-intellij-idea-efe54cd77f02,Remote debugging a Java Application running in Docker container with Intellij Idea,,41.png,250,7,4,The Startup,2019-07-21
42,https://medium.com/swlh/should-ripples-xrp-be-classified-as-a-security-409ec3662d94,Should Ripple’s XRP Be Classified as a Security?,,42.jpeg,47,3,11,The Startup,2019-07-21
43,https://medium.com/swlh/effective-javascript-debugging-memory-leaks-75059b2436f6,Effective Javascript debugging: Memory leaks,,43.png,220,0,8,The Startup,2019-07-21
44,https://medium.com/swlh/dodging-bullets-fired-by-narcissists-f3615353a507,Dodging Bullets Fired by Narcissists,How to Spot Them and Deflect Them,44.jpeg,218,1,10,The Startup,2019-07-21
45,https://medium.com/swlh/24-powerful-questions-and-reflections-to-help-define-our-executive-presence-and-leadership-skills-d53b18f50173,24 Powerful Questions and Reflections To Help Define Our Executive Presence and Leadership Skills,,45.jpeg,73,0,10,The Startup,2019-07-21
46,https://medium.com/swlh/why-you-must-focus-on-a-niche-market-8f13c75b3e9d,Why you must focus on a niche market,Apply the hedgehog strategy to your business and increase your…,46.jpeg,225,2,4,The Startup,2019-07-21
47,https://medium.com/swlh/an-important-feature-xcode-is-still-missing-17effe59b521,An Important Feature Xcode is Still Missing,Programmers know that time is valuable. By nature…,47.png,201,1,6,The Startup,2019-07-21
48,https://medium.com/swlh/robots-and-religion-mediating-the-divine-2bd73220787d,Robots and Religion: Mediating the Divine.,"As icons and rituals adapt to newer technologies, the rise…",48.jpeg,152,0,13,The Startup,2019-07-21
49,https://medium.com/swlh/why-procrastination-is-a-bitch-and-what-can-we-do-to-make-it-go-away-5b34a05b0ed4,Why Procrastination Is a Bitch and What Can We Do to Make It Go Away?,,49.jpeg,7,0,9,The Startup,2019-07-21
50,https://medium.com/swlh/are-you-moving-bricks-or-building-a-cathedral-2741e83fbe39,Are You Moving Bricks or Building a Cathedral?,How to find meaning in everyday tasks,50.jpg,120,0,4,The Startup,2019-07-21
51,https://medium.com/swlh/are-all-gamers-actually-marxists-9b106939d818,Are All Gamers Actually Marxists?,The crisis at the heart of triple-A games publishing is emblematic…,51.png,112,2,4,The Startup,2019-07-21
52,https://medium.com/swlh/the-flywheel-of-life-6f21400e243d,The Flywheel of Life,,52.jpg,124,2,5,The Startup,2019-07-21
53,https://medium.com/swlh/how-deep-work-changed-me-and-why-you-should-care-ba34ae9dd595,How deep work changed me and why you should care,,53.jpeg,290,2,7,The Startup,2019-07-21
54,https://medium.com/swlh/low-poly-scenes-made-easy-ea5489049746,Low Poly Scenes Made Easy,,54.png,129,0,3,The Startup,2019-07-21
55,https://medium.com/swlh/how-to-make-progress-when-you-feel-stuck-34f5ed4b809,How to Make Progress When You Feel Stuck,We make it harder than it is,55.jpeg,15,3,4,The Startup,2019-07-21
56,https://medium.com/swlh/do-you-fear-the-fin-you-shouldnt-f93b248e8bb9,Do you fear the fin — you shouldn’t,,56.jpg,323,0,5,The Startup,2019-07-21
57,https://medium.com/swlh/mindfulness-outside-meditation-ce42d79bde9c,Mindfulness Outside Meditation,Bringing meditation beyond the practice.,57.jpeg,40,2,6,The Startup,2019-07-21
58,https://medium.com/swlh/understanding-the-math-behind-dimension-reduction-in-facial-recognition-2-50f1fd612132,Understanding The Math Behind Dimension Reduction in Facial Recognition(2),Read my beginner-friendly…,58.jpeg,46,0,6,The Startup,2019-07-21
59,https://medium.com/swlh/notes-on-failure-2db180dc3d1,Notes On Failure,Where do I begin?,59.jpg,136,0,4,The Startup,2019-07-21
60,https://medium.com/swlh/being-your-own-biggest-critique-is-easy-try-being-your-own-biggest-fan-d7a061e2b2b6,"Being Your Own Biggest Critique is Easy, Try Being Your Own Biggest Fan",And 6 other ways you can…,60.jpeg,255,2,4,The Startup,2019-07-21
61,https://medium.com/swlh/starting-over-how-reinventing-education-will-benefit-you-4af1e4fc2745,"<strong class=""markup--strong markup--h3-strong"">Starting Over: How Reinventing Education Will Benefit You</strong>","<strong class=""markup--strong markup--h4-strong""><em class=""markup--em markup--h4-em"">Schools have a different role to play in a</em></strong>",61.jpeg,227,3,5,The Startup,2019-07-21
62,https://medium.com/swlh/the-freelancer-versus-the-entrepreneur-which-one-are-you-7d4a45e70977,The Freelancer Versus the Entrepreneur: Which One Are You?,,62.jpg,156,1,5,The Startup,2019-07-21
63,https://medium.com/swlh/how-i-made-it-to-six-figures-while-travelling-full-time-290e465827c4,"<strong class=""markup--strong markup--h3-strong"">How I Made it to Six Figures While Travelling Full Time</strong>",,63.jpeg,205,1,5,The Startup,2019-07-21
64,https://medium.com/swlh/why-my-best-ideas-come-while-doing-the-dishes-each-night-5986cfadf3e7,Why My Best Ideas Come While Doing the Dishes Each Night,And other unintended benefits of this once…,64.jpg,256,1,4,The Startup,2019-07-21
65,https://medium.com/swlh/chinas-social-credit-score-is-a-wrathful-god-f6c1171f36bf,China’s Social Credit Score is a Wrathful God,,65.jpeg,19,0,4,The Startup,2019-07-21
66,https://medium.com/swlh/the-tree-next-door-69d825bf2298,The Tree Next Door,,66.gif,92,1,5,The Startup,2019-07-21
67,https://medium.com/swlh/thriving-under-brutal-management-a203ac66d2c7,Thriving Under Brutal Management,,67.jpeg,197,2,6,The Startup,2019-07-21
68,https://medium.com/swlh/if-youre-obsessing-about-your-credit-score-you-re-focused-on-the-wrong-t-4147d7eadb65,"If You’re Obsessed With Your Credit Score, You’re Focused On the Wrong Thing",,68.jpg,152,1,4,The Startup,2019-07-21
69,https://medium.com/swlh/a-blood-test-can-tell-if-you-might-be-suicidal-or-have-cancer-it-isnt-magic-it-s-biomarkers-d7115dfcd407,"A Blood Test Can Tell If You Might Be Suicidal or Have Cancer — It isn’t magic, It’s Biomarkers",,69.jpeg,226,0,7,The Startup,2019-07-21
70,https://medium.com/swlh/avoiding-the-busyness-trap-15b0d77829d1,Avoiding the Busyness Trap,,70.jpeg,27,0,5,The Startup,2019-07-21
71,https://medium.com/swlh/another-reason-for-blockchain-and-the-proof-of-trust-fb7dd24e370b,Another reason for blockchain and The Proof of Trust?,,71.jpeg,20,0,4,The Startup,2019-07-21
72,https://medium.com/swlh/ordinary-is-the-enemy-7035511d31a6,Ordinary is The Enemy,,72.jpeg,110,1,7,The Startup,2019-07-21
73,https://medium.com/swlh/cost-benefit-analysis-8958be23e795,Cost-Benefit Analysis—100 Mental Models #005 👽,How Alexander The Great made decisions.,73.jpg,83,0,2,The Startup,2019-07-21
74,https://medium.com/swlh/the-productivity-triangle-5125a61fe238,The Productivity Triangle,a personal story for getting your startup on…,74.png,140,2,6,The Startup,2019-07-21
75,https://medium.com/swlh/travel-free-medium-cb634de22163,How To Travel By Train For Free Thanks to Medium,,75.jpg,117,1,4,The Startup,2019-07-21
76,https://medium.com/swlh/heroes-sidekicks-client-positioning-why-youve-been-getting-it-wrong-bc39360da918,Heroes & Sidekicks: Client Positioning & why you’ve been getting it wrong,,76.jpeg,8,0,3,The Startup,2019-07-21
77,https://medium.com/swlh/a-pitch-to-investors-framework-8c34abcec9f8,A “pitch to investors” framework,"The perfect way to pitch doesn’t exist, but a solid framework will…",77.jpeg,11,0,5,The Startup,2019-07-21
78,https://medium.com/swlh/i-need-vision-and-coffee-72102d01c587,I need Vision… And Coffee,,78.jpeg,5,0,4,The Startup,2019-07-21
79,https://medium.com/swlh/who-are-you-47194b1696f,Who Are You?,,79.jpg,11,0,3,The Startup,2019-07-21
80,https://medium.com/swlh/so-you-got-a-new-job-7fb1b6359064,So You Got a New Job!,Tips on to make your first day go smooth,,16,0,6,The Startup,2019-07-21
81,https://medium.com/swlh/ill-just-do-it-myself-shall-i-2b8427ba2cfe,I’ll Just Do It Myself Shall I?,How to get the best out of your team,81.jpeg,45,1,4,The Startup,2019-07-21
82,https://medium.com/swlh/you-need-writing-69a09ca38b46,You Need Writing,Even when no one is reading what you’re writing,82.jpg,26,2,3,The Startup,2019-07-21
83,https://writingcooperative.com/how-not-to-write-9a87fe66baa3,How Not To Write,When to ignore writing advice is the best writing advice.,83.jpeg,1200,8,5,The Writing Cooperative,2019-07-21
84,https://writingcooperative.com/the-pros-and-cons-of-counting-words-f973bde8b401,The Pros and Cons of Counting Words,Is tracking your writing a good idea?,84.jpg,87,0,5,The Writing Cooperative,2019-07-21
85,https://writingcooperative.com/5-practical-steps-to-consistently-brainstorm-blog-topic-ideas-3b6faa732c5e,5 Practical Steps to Consistently Brainstorm Blog Topic Ideas,These tactics will offer you more than a…,85.png,149,0,11,The Writing Cooperative,2019-07-21
86,https://writingcooperative.com/what-is-story-structure-really-for-b7be84a893f8,What is Story Structure really for?,Story structures like the Hero’s Journey seem like a wonderful…,86.png,47,0,3,The Writing Cooperative,2019-07-21
87,https://writingcooperative.com/its-time-to-call-yourself-a-writer-and-mean-it-cde24f38fb23,It’s Time To Call Yourself A Writer — And Mean It,Own your title and stand tall.,87.jpg,185,1,6,The Writing Cooperative,2019-07-21
88,https://towardsdatascience.com/auto-encoder-what-is-it-and-what-is-it-used-for-part-1-3e5c6f017726,Auto-Encoder: What Is It? And What Is It Used For? (Part 1),A Gentle Introduction to Auto-Encoder and…,88.jpg,1500,12,6,Towards Data Science,2019-04-22
89,https://towardsdatascience.com/face-detection-in-2-minutes-using-opencv-python-90f89d7c0f81,Face Detection in 2 Minutes using OpenCV & Python,In this quick post I wanted to share a very popular…,89.jpeg,1000,4,2,Towards Data Science,2019-04-22
90,https://towardsdatascience.com/creating-a-voice-recognition-calculator-android-app-869a515bf6d1,Creating A Voice Recognition Calculator Android App,,90.jpg,159,3,7,Towards Data Science,2019-04-22
91,https://towardsdatascience.com/region-of-interest-pooling-f7c637f409af,Region of Interest Pooling,A Technique which allowed a new approach for object detection,91.png,320,5,4,Towards Data Science,2019-04-22
92,https://towardsdatascience.com/new-in-hadoop-you-should-know-the-various-file-format-in-hadoop-4fcdfa25d42b,New in Hadoop: You should know the Various File Format in Hadoop.,"<em class=""markup--em markup--h4-em"">A Beginners’ Guide to Hadoop File</em>",92.png,512,3,5,Towards Data Science,2019-04-22
93,https://towardsdatascience.com/review-squeezenet-image-classification-e7414825581a,Review: SqueezeNet (Image Classification),"<span class=""markup--anchor markup--h4-anchor"" data-action=""open-inner-link"" data-action-value=""https://medium.com/coinmonks/paper-review-of-alexnet-caffenet-winner-in-ilsvrc-2012-image-classification-b93598314160"">AlexNet</span>",93.jpg,376,0,5,Towards Data Science,2019-04-22
94,https://towardsdatascience.com/making-3-easy-maps-with-python-fb7dfb1036,Making 3 Easy Maps With Python,Mapping Starbucks locations in Los Angeles County,94.jpeg,323,1,5,Towards Data Science,2019-04-22
95,https://towardsdatascience.com/python-pro-tip-start-using-python-defaultdict-and-counter-in-place-of-dictionary-d1922513f747,Python Pro Tip: Start using Python defaultdict and Counter in place of dictionary,,95.jpg,1100,11,4,Towards Data Science,2019-04-22
96,https://towardsdatascience.com/build-your-first-machine-learning-model-using-tensorflow-d61b9b2b7d5e,Build your first Machine Learning Model using TensorFlow,,96.png,328,0,10,Towards Data Science,2019-04-22
97,https://towardsdatascience.com/stock-market-data-collection-feature-engineering-using-python-f201d8a4e8d7,Stock Market Data Collection & Feature Engineering Using Python,The hardest part about building…,97.jpg,681,6,7,Towards Data Science,2019-04-22
98,https://towardsdatascience.com/how-we-dumped-a-b-testing-for-machine-learning-2b44632ba9df,How We Dumped A/B Testing For Machine Learning,,,191,7,6,Towards Data Science,2019-04-22
99,https://towardsdatascience.com/data-analytics-with-modis-data-46338cd6e4d2,Data analytics with MODIS data,Demystifying methods to handle geospatial data,99.jpeg,219,6,10,Towards Data Science,2019-04-22
100,https://towardsdatascience.com/bite-sized-python-recipes-52cde45f1489,Bite-Sized Python Recipes,A collection of small useful functions in Python,100.jpg,541,3,6,Towards Data Science,2019-04-22
101,https://towardsdatascience.com/neural-network-algorithms-learn-how-to-train-ann-736dab9e6299,Neural Network Algorithms — Learn How To Train ANN,,101.jpg,71,2,5,Towards Data Science,2019-04-22
102,https://towardsdatascience.com/ai-fairness-explanation-of-disparate-impact-remover-ce0da59451f1,AI Fairness — Explanation of Disparate Impact Remover,Introduction to AI Fairness,102.png,121,1,6,Towards Data Science,2019-04-22
103,https://towardsdatascience.com/introduction-to-natural-language-processing-nlp-and-bias-in-ai-877d3f3ee680,Introduction to Natural Language Processing (NLP) and Bias in AI,A practical guide to working with…,103.jpg,367,2,7,Towards Data Science,2019-04-22
104,https://towardsdatascience.com/tips-for-effective-data-visualization-d4b2af91db37,Tips for Effective Data Visualization,"Exploring the good, the bad and the ugly of data visualization",104.jpg,104,1,4,Towards Data Science,2019-04-22
105,https://towardsdatascience.com/can-you-do-better-sampling-strategies-with-an-emphasis-on-gibbs-sampling-practicals-and-code-c97730d54ebc,"Can you do better? Sampling strategies with an emphasis on Gibbs sampling, practicals and code",,105.png,76,0,10,Towards Data Science,2019-04-22
106,https://towardsdatascience.com/principal-component-analysis-math-and-intution-post-3-35ea8d2301b3,Principal Component Analysis — Math and Intuition (Post 3),,106.jpeg,119,0,8,Towards Data Science,2019-04-22
107,https://towardsdatascience.com/how-to-be-less-wrong-5d6632a08f,How to be less wrong,A Bayesian’s guide to predicting the future with limited data,107.jpeg,344,4,7,Towards Data Science,2019-04-22
108,https://towardsdatascience.com/refocus-making-out-of-focus-microscopy-images-in-focus-again-90e1fe98ead4,ReFocus: Making Out-of-Focus Microscopy Images In-Focus Again,,108.jpeg,82,2,5,Towards Data Science,2019-04-22
109,https://towardsdatascience.com/a-deeper-look-at-descent-algorithms-13340b82db49,A deeper look at descent algorithms,Overview and comparison of different descent algorithms,109.jpg,91,0,9,Towards Data Science,2019-04-22
110,https://towardsdatascience.com/gender-identification-with-deep-learning-ac379f85a790,Gender Inference with Deep Learning,Fine-tuning pretrained convolutional neural networks on celebrities,110.jpeg,13,0,6,Towards Data Science,2019-04-22
111,https://towardsdatascience.com/decision-making-is-more-than-quantitative-problem-solving-ac6365a9ec16,Decision Making Is More Than Quantitative Problem Solving,,111.jpeg,33,0,6,Towards Data Science,2019-04-22
112,https://towardsdatascience.com/virtual-banking-race-in-hong-kong-from-hiring-perspective-70fb5282d831,Virtual banking race in Hong Kong — from hiring perspective,How job advertisements could be useful…,112.png,65,1,6,Towards Data Science,2019-04-22
113,https://towardsdatascience.com/discretizing-2d-images-into-polygonal-and-point-models-9e91c239b329,Discretizing 2D Images Into Polygonal and Point Models,Simplifying complex images into a simple data…,113.png,47,0,3,Towards Data Science,2019-04-22
114,https://towardsdatascience.com/a-brief-primer-on-data-science-and-what-it-can-do-for-your-business-cc723f3d911c,A Brief Primer on Data Science and What It Can Do for Your Business,,114.png,5,0,5,Towards Data Science,2019-04-22
115,https://towardsdatascience.com/watch-the-rise-of-plastics-in-our-oceans-part-one-61ccd16cfa04,Watch the rise of plastics in our oceans — Part one,"In this series of articles, learn how to build a…",115.gif,19,0,8,Towards Data Science,2019-04-22
116,https://towardsdatascience.com/the-secret-to-knowing-the-unknowable-predictive-analytics-de519a67576,The Secret to Knowing the Unknowable: Predictive Analytics,,116.jpeg,1,0,4,Towards Data Science,2019-04-22
117,https://towardsdatascience.com/election-data-exploration-israel-2019-general-election-cd3c2b0f2f05,Innocent Interpretations for Some Suspicious Statistics; General Election Data Exploration. (part 1),,117.png,1,0,5,Towards Data Science,2019-04-22
118,https://uxdesign.cc/how-to-measure-progress-with-outcomes-985fb118fb56,How to measure progress with outcomes,"<em class=""markup--em markup--h4-em"">You’ve heard the phrase Outcomes over Outputs. Now let’s put that idea to work.</em>",,720,1,4,UX Collective,2019-04-22
119,https://uxdesign.cc/how-to-create-product-content-guidelines-ae8c1b6521ea,How To: create product content guidelines,What are content guidelines? How do you create and…,119.png,349,4,5,UX Collective,2019-04-22
120,https://uxdesign.cc/about-ux-in-software-design-aa2254287bac,About UX in software design,What Software Design Taught Me About UX and User Behaviour,120.jpeg,99,0,8,UX Collective,2019-04-22
121,https://uxdesign.cc/designing-a-new-messaging-tool-for-olx-brasil-3118848abd0c,Designing a new messaging tool for OLX Brasil — a UX case study,The challenge of connecting more…,121.jpeg,648,1,6,UX Collective,2019-04-22
122,https://uxdesign.cc/how-to-sell-user-experience-stories-to-the-backlog-6e084634b758,How to “sell” User Experience stories to the backlog?,,122.jpeg,150,2,6,UX Collective,2019-04-22
123,https://uxdesign.cc/lets-talk-about-the-design-process-productivity-speed-and-precision-46f5f0c22308,"Let’s talk about the design process, productivity, speed and precision",How can you talk about design…,123.jpeg,32,0,9,UX Collective,2019-04-22
124,https://uxdesign.cc/what-super-mario-maker-can-teach-us-about-user-experience-ux-1f3b27eb69a1,"<strong class=""markup--strong markup--h3-strong"">What Super Mario Maker can teach us about user experience (UX)</strong>",,124.jpeg,24,0,8,UX Collective,2019-04-22
125,https://uxdesign.cc/getting-used-to-endless-iterations-in-product-design-or-embracing-kaizen-d06f5a854f55,Getting used to endless iterations in Product Design (or) embracing Kaizen,,125.jpg,16,0,3,UX Collective,2019-04-22
126,https://uxdesign.cc/making-the-case-for-the-good-stuff-78193016357a,Making the case for ‘the good stuff’,Ever been in conversations where accessibility is de-scoped…,126.png,148,0,9,UX Collective,2019-04-22
127,https://uxdesign.cc/a-refreshing-drink-like-coca-cola-ought-to-refresh-its-website-too-385f743b93ba,A refreshing drink like Coca-Cola ought to refresh its website too,,127.jpg,22,0,4,UX Collective,2019-04-22
128,https://uxdesign.cc/simplicity-sells-5a849288687c,Simplicity sells,How to prevent your ideas from dying on the vine.,128.jpeg,20,0,3,UX Collective,2019-04-22
129,https://medium.com/swlh/why-work-alone-wont-ever-fulfill-you-ace9327f5763,Work Alone Won’t Ever Fulfill You,"In many ways, productivity is an illusion. And we’re buying it.",129.jpeg,5700,24,6,The Startup,2019-04-22
130,https://medium.com/swlh/how-to-run-tensorflow-object-detection-model-on-jetson-nano-8f8c6d4352e8,How to run TensorFlow Object Detection model on Jetson Nano,,130.png,130,3,4,The Startup,2019-04-22
131,https://medium.com/swlh/fyre-festival-achieved-perfect-product-market-fit-and-thats-why-we-should-question-the-lean-a6a45fcb735a,Fyre Festival achieved perfect product-market fit (and that’s why we should question the Lean Startup and VC dogma),,131.jpeg,611,17,6,The Startup,2019-04-22
132,https://medium.com/swlh/the-new-google-maps-in-ar-587285a5d523,The New Google Maps in AR,The new AR navigation from Google Maps rolled out recently but it isn’t…,132.jpeg,325,2,11,The Startup,2019-04-22
133,https://medium.com/swlh/benchmark-x-sketch-31c5bd585de,Benchmark x Sketch,Trying to reverse engineer why Sketch is a great venture bet in 2019,133.png,254,1,10,The Startup,2019-04-22
134,https://medium.com/swlh/how-to-stop-being-bogged-down-with-unimportant-tasks-fddfaee508c0,How to Stop Being Bogged Down with Unimportant Tasks,"“If it takes less than two minutes, then do it…",134.jpg,987,4,7,The Startup,2019-04-22
135,https://medium.com/swlh/important-social-media-marketing-trends-that-will-impact-your-business-d820bad9db1d,"<strong class=""markup--strong markup--h3-strong"">Important Social Media Marketing Trends That Will Impact Your Business</strong>",,135.jpeg,42,0,10,The Startup,2019-04-22
136,https://medium.com/swlh/famga-bet-on-healthcare-but-where-do-they-go-ef58ef260740,FAMGA Bet On Healthcare: But Where Do They Go?,,136.jpeg,28,0,9,The Startup,2019-04-22
137,https://medium.com/swlh/why-do-we-so-often-fail-to-complete-the-tasks-that-matter-most-to-us-7e68b138db5e,Why do we so often fail to complete the tasks that matter most to us?,,137.jpeg,192,1,6,The Startup,2019-04-22
